unit,unit_en,division,army,district,crimes,mil_part,region,city,uhit_short,id
368-й штурмовий авіаційний полк,368-Store-Aviation-Regiment,1-ша авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,в/ч 75388,Краснодарський край,м. Будьоновськ,368 шап,Південний військовий округ.1-ша авіаційна дивізія.368-й штурмовий авіаційний полк
559-й бомбардувальний авіаційний полк,559th-Bombard-Aviation-Regiment,1-ша авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 75392,Краснодарський край,м. Мозовськ,ffff,Південний військовий округ.1-ша авіаційна дивізія.559-й бомбардувальний авіаційний полк
Управління 1-ї авіаційної дивізії,Management-of-the-1st-Aviation-Division,1-ша авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,в/ч 40491,Краснодарський край,м. Кримськ,ffff,Південний військовий округ.1-ша авіаційна дивізія.Управління 1-ї авіаційної дивізії
,39th-helicopter-regiment,,,Південний військовий округ,False,в/ч 46453,Окупований Крим (Україна),м. Джанкой,ffff,Південний військовий округ.27-ма авіаційна дивізія
37-й змішаний авійаціний полк,37th-Mixed-Aviyaeus-Regiment,27-ма авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),м. Гвардєйск,ffff,Південний військовий округ.27-ма авіаційна дивізія.37-й змішаний авійаціний полк
38-й винищувальний авіаційнйи полк,38th-Fighter-Aviation-Regiment,27-ма авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,в/ч 80159,Окупований Крим (Україна),м. Бельбек,38 вап,Південний військовий округ.27-ма авіаційна дивізія.38-й винищувальний авіаційнйи полк
39-й вертольотний полк,39th-helicopter-regiment,27-ма авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,в/ч 46453,Окупований Крим (Україна),м. Джанкой,ffff,Південний військовий округ.27-ма авіаційна дивізія.39-й вертольотний полк
Управління 27-ї авіаційної дивізії,Management-of-the-27th-Aviation-Division,27-ма авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),м. Бельбек,ffff,Південний військовий округ.27-ма авіаційна дивізія.Управління 27-ї авіаційної дивізії
,197-Brigade-Angry-Boats,,,Південний військовий округ,False,в/ч 72136,Ставропольський край,м. Севастополь,ffff,Південний військовий округ.30-та дивізія надводних кораблів
11-та бригада протичовнових кораблів,11th-brigade-of-protracic-ships,30-та дивізія надводних кораблів,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Ставропольський край,м. Севастополь,ffff,Південний військовий округ.30-та дивізія надводних кораблів.11-та бригада протичовнових кораблів
197-ма бригада десантний човнів,197-Brigade-Angry-Boats,30-та дивізія надводних кораблів,Окружного підпорядкування,Південний військовий округ,False,в/ч 72136,Ставропольський край,м. Севастополь,ffff,Південний військовий округ.30-та дивізія надводних кораблів.197-ма бригада десантний човнів
,18th-Guards-Anti-aircraft-Missile-Regiment,,,Південний військовий округ,False,в/ч 85388,Окупований Крим (Україна),м. Феодосія,18 гвзенрп,Південний військовий округ.31-ша дивізія ППО
12-й зенітний ракетнйи полк,12th-anti-aircraft-missile-regiment,31-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 85702,Окупований Крим (Україна),м. Севастополь,12 зенрп,Південний військовий округ.31-ша дивізія ППО.12-й зенітний ракетнйи полк
18-й зенітний ракетний полк,18th-Guards-Anti-aircraft-Missile-Regiment,31-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 85388,Окупований Крим (Україна),м. Феодосія,18 гвзенрп,Південний військовий округ.31-ша дивізія ППО.18-й зенітний ракетний полк
3-й радіотехнічний полк,3rd-radio-technical-regiment,31-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 85683,Окупований Крим (Україна),м. Севастополь,ffff,Південний військовий округ.31-ша дивізія ППО.3-й радіотехнічний полк
Управління 31-ї дивізії ППО,Management-of-the-31st-Air-Defense-Division,31-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 03121,Окупований Крим (Україна),м. Севастополь,ffff,Південний військовий округ.31-ша дивізія ППО.Управління 31-ї дивізії ППО
,11th-Mixed-Aviation-Regiment,,,Південний військовий округ,False,Невідомо,Волгоградська область,с. Маринівка,ffff,Південний військовий округ.4-та авіаційна дивізія
11-й змішаний авіаційний полк,11th-Mixed-Aviation-Regiment,4-та авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Волгоградська область,с. Маринівка,ffff,Південний військовий округ.4-та авіаційна дивізія.11-й змішаний авіаційний полк
960-й штурмовий авіаційнйи полк,960th-assault-aviation-regiment,4-та авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Краснодарський край,м. Приморсько-Ахтарськ,960 шап,Південний військовий округ.4-та авіаційна дивізія.960-й штурмовий авіаційнйи полк
Управління 4-ї авіаційної дивізії,Management-of-the-4th-Aviation-Division,4-та авіаційна дивізія,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Волгоградська область,с. Маринівка,ffff,Південний військовий округ.4-та авіаційна дивізія.Управління 4-ї авіаційної дивізії
,Management-of-the-51st-Air-Defense-Division,,,Південний військовий округ,False,в/ч 42352,Ростовська область,м. Ростов-на-Дону,ffff,Південний військовий округ.51-ша дивізія ППО
1536-й зенітнйи ракетнйи полк,1536-Zenith-rocket-regiment,51-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 48514,Ростовська область,м. Ростов-на-Дону,1536 зенрп,Південний військовий округ.51-ша дивізія ППО.1536-й зенітнйи ракетнйи полк
1537-й зенітний ракетний полк,1537-anti-aircraft-missile-regiment,51-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 26345,Краснодарський край,м. Новоросійськ,1537 зенрп,Південний військовий округ.51-ша дивізія ППО.1537-й зенітний ракетний полк
1721-й зенітний ракетний полк,1721-Anti-aircraft-missile-regiment,51-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 11754,Краснодарський край,м. Сочі,1721 зенрп,Південний військовий округ.51-ша дивізія ППО.1721-й зенітний ракетний полк
338-й радіотехнічний полк,338th-radio-technical-regiment,51-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 40213,Ростовська область,м. Новочеркаськ,ffff,Південний військовий округ.51-ша дивізія ППО.338-й радіотехнічний полк
339-й радіотехнічний полк,339th-radio-technical-regiment,51-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 03007,Астраханська область,смт. Тинакі,ffff,Південний військовий округ.51-ша дивізія ППО.339-й радіотехнічний полк
Управління 51-ї дивізії ППО,Management-of-the-51st-Air-Defense-Division,51-ша дивізія ППО,Окружного підпорядкування,Південний військовий округ,False,в/ч 42352,Ростовська область,м. Ростов-на-Дону,ffff,Південний військовий округ.51-ша дивізія ППО.Управління 51-ї дивізії ППО
,97th-landing-regiment,,,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),с. Калинівка,97 дшп,Південний військовий округ.7-ма десантно-штурмова дивізія
108-й десантно-штурмовий полк,108th-Guards-Airborne-Outstone-Regiment,7-ма десантно-штурмова дивізія,Окружного підпорядкування,Південний військовий округ,False,в/ч 42091,Краснодарський край,м. Новоросійськ,108 гв дшп,Південний військовий округ.7-ма десантно-штурмова дивізія.108-й десантно-штурмовий полк
1141-й артилерійський полк,1141th-Artillery-Regiment,7-ма десантно-штурмова дивізія,Окружного підпорядкування,Південний військовий округ,False,в/ч 40515,Краснодарський край,м. Анапа,1141 АП,Південний військовий округ.7-ма десантно-штурмова дивізія.1141-й артилерійський полк
247-й десантно-штурмовий полк,247th-Guards-Airborne-Outstone-Regiment,7-ма десантно-штурмова дивізія,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 54801,Ставропольський край,м. Ставрополь,247 гв дшп,Південний військовий округ.7-ма десантно-штурмова дивізія.247-й десантно-штурмовий полк
3-й зенітно-ракетний полк,3rd-Guards-Anti-Student-Regiment,7-ма десантно-штурмова дивізія,Окружного підпорядкування,Південний військовий округ,False,в/ч 94021,Краснодарський край,м. Новоросійськ,ffff,Південний військовий округ.7-ма десантно-штурмова дивізія.3-й зенітно-ракетний полк
56-й десантно-штурмовий полк,56th-Guards-Airborne-Outstone-Regiment,7-ма десантно-штурмова дивізія,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Окупований Крим (Україна),м. Феодосія,56 гв дшп,Південний військовий округ.7-ма десантно-штурмова дивізія.56-й десантно-штурмовий полк
97-й десантно-штурмовий полк,97th-landing-regiment,7-ма десантно-штурмова дивізія,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),с. Калинівка,97 дшп,Південний військовий округ.7-ма десантно-штурмова дивізія.97-й десантно-штурмовий полк
Управління 7-ї десантно-штурмової дивізії,Management-of-the-7th-Airborne-Assault-Division,7-ма десантно-штурмова дивізія,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 61756,Краснодарський край,м. Новоросійськ,ffff,Південний військовий округ.7-ма десантно-штурмова дивізія.Управління 7-ї десантно-штурмової дивізії
10-й ремонтно-евакуаційний полк,10th-Separate-Repair-and-Evacuation-Regiment,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 25356,Краснодарський край,м. Слов'янськ-на-Кубані,ffff,Південний військовий округ.10-й ремонтно-евакуаційний полк
10-та бригада спеціального призначення,10th-Special-Purpose-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 51532,Краснодарський край,х. Молькіно,ffff,Південний військовий округ.10-та бригада спеціального призначення
100-та розвідувальна бригада,100th-Separate-Intelligence-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 23511,Республіка Північна Осетія-Аланія,м. Моздюк,100 ОРБр,Південний військовий округ.100-та розвідувальна бригада
102-га військова база,102th-Military-Base,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 04436,Вірменія,м. Гюмрі,ffff,Південний військовий округ.102-га військова база
106-та бригада човнів,106th-Brigade-of-Boats,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Республіка Дагестан,м. Махачкала,ffff,Південний військовий округ.106-та бригада човнів
11-та  інженерна бригада,The-11th-Separate-Guards-Engineering-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 45767,Ростовська область,м. Кменськ-Шахтинський,11 гв оибр,Південний військовий округ.11-та  інженерна бригада
11-та берегова ракетно-артилерійська бригада,The-11th-Separate-Coast-Rocket-Artillery-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 00916,Краснодарський край,смт. Уташ,ffff,Південний військовий округ.11-та берегова ракетно-артилерійська бригада
11-та ракетно-артилерійська бригада,11th-separate-rocket-artillery-brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Краснодарський край,смт. Уташ,11 орабр,Південний військовий округ.11-та ракетно-артилерійська бригада
1270-й центр РЄБ,1270th-Separate-Center,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Ростовська область,с. Ковалівка,ffff,Південний військовий округ.1270-й центр РЄБ
133-тя бригада МТО,133-day-MTO-brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),м. Бахчисарай,133 брмто,Південний військовий округ.133-тя бригада МТО
15-та берегова ракетна бригада,15th-Separate-Coast-Missile-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),м. Севастополь,15 обрбр,Південний військовий округ.15-та берегова ракетна бригада
16-та бригада армійської авіації,The-16th-Brigade-of-Army-Aviation,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 12628,Ростовська область,м. Зеленоград,16 браа,Південний військовий округ.16-та бригада армійської авіації
175-та бригада управління,175th-Management-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 01957,Ростовська область,м. Аксай,175 бру,Південний військовий округ.175-та бригада управління
176-та бригада зв'язку,176th-communication-brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Ростовська область,смт. Рассвєт,ffff,Південний військовий округ.176-та бригада зв'язку
177-й полк морської піхоти,177th-Regiment-of-Marines,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Республіка Дагестан,м. Каспійськ,177 пмп,Південний військовий округ.177-й полк морської піхоти
184-та бригада охорони водного району,184th-Water-District-Protection-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Краснодарський край,м. Новоросійськ,ffff,Південний військовий округ.184-та бригада охорони водного району
19та бригада рєб,19-and-a-separate-brigade-of-the-Replace,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Ростовська область,смт. Рассвєт,ffff,Південний військовий округ.19та бригада рєб
214-й центр управління,214th-Center-of-Management,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 65246,Ростовська область,м. Новочеркаськ,ffff,Південний військовий округ.214-й центр управління
22-га  бригада спеціального призначення,22th-separate-Guards-Brigade-of-Special-Purpose,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 11879,Ростовська область,смт. Стєпной,22 огвбрспн,Південний військовий округ.22-га  бригада спеціального призначення
30-й змішаний авіаційний полк,30th-Separate-Mixed-Aviation-Regiment,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 41497,Ростовська область,м. Ростов-на-Дону,ffff,Південний військовий округ.30-й змішаний авіаційний полк
318-й авіаціний полк,318th-Separate-Airline-Regiment,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),смт. Кача,ffff,Південний військовий округ.318-й авіаціний полк
3624-та авіаційна база,3624-and-aviation-base,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 63530,Вірменія,м. Еребуні,ffff,Південний військовий округ.3624-та авіаційна база
3661-ша авіаційна база,3661--sh-Aviation-Base,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 62467,Республіка Північна Осетія-Аланія,м. Моздюк,ffff,Південний військовий округ.3661-ша авіаційна база
37-ма залізнична бригада,37-Separate-railway-brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Волгоградська область,м. Волгоград,ffff,Південний військовий округ.37-ма залізнична бригада
39-та залізнична бригада,39th-separate-railway-brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 98544,Краснодарський край,м. Сочі,39 ождбр,Південний військовий округ.39-та залізнична бригада
4-та бригада підводних човнів,4th-Brigade-of-Submarines,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 95200,Краснодарський край,м. Новоросійськ,ffff,Південний військовий округ.4-та бригада підводних човнів
41-ша бригада ракетних катерів,41st-Brigade-of-rocket-boats,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 72165,Ставропольський край,м. Севастополь,ffff,Південний військовий округ.41-ша бригада ракетних катерів
43-тій морський штурмовий авіаційний полк,43th-Separate-Marine-Storm-Aviation-Regiment,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Окупований Крим (Україна),м. Сакі,ffff,Південний військовий округ.43-тій морський штурмовий авіаційний полк
439-та реактивна артилерійська бригада,439th-Guards-Reactive-Artillery-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 48315,Астраханська область,м. Знаменськ,439 гв реабр,Південний військовий округ.439-та реактивна артилерійська бригада
487-й вертолітний полк,487th-separate-helicopter-regiment,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 44936,Ставропольський край,м. Будьоновськ,487 овп,Південний військовий округ.487-й вертолітний полк
5307-й склад РАВ,5307th-warehouse,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Ростовська область,м. Ростов-на-Дону,ffff,Південний військовий округ.5307-й склад РАВ
54-й центр підготовки розвідувальних підрозділів,54th-Center-for-Intelligence-Training,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,Невідомо,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.54-й центр підготовки розвідувальних підрозділів
55-й вертольотний полк,55th-separate-helicopter-regiment,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 35666,Краснодарський край,м. Кореновськ,55 овп,Південний військовий округ.55-й вертольотний полк
68-й морський інженерний полк,68th-Separate-Marine-Engineering-Regiment,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 86863,Окупований Крим (Україна),м. Євпаторія,68 оміп,Південний військовий округ.68-й морський інженерний полк
68-ма бригада човнів охорони,The-68th-Brigade-of-the-Boats-of-the-Guard,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 26977,Ставропольський край,м. Севастополь,ffff,Південний військовий округ.68-ма бригада човнів охорони
73-тя бригада човнів охорони,73-Guards-Brigade-of-Boats-Security,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Астраханська область,м. Астрахань,ffff,Південний військовий округ.73-тя бригада човнів охорони
744-й центр зв'язку,744th-Center,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Окупований Крим (Україна),м. Севастополь,ffff,Південний військовий округ.744-й центр зв'язку
77-ма зенітна ракетна бригада,77th-anti-aircraft-missile-brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 33742,Краснодарський край,м. Кореновськ,77 зрбр,Південний військовий округ.77-ма зенітна ракетна бригада
78-ма бригада МТО,78-Separate-MTO-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Ставропольський край,м. Будьоновськ,ffff,Південний військовий округ.78-ма бригада МТО
8-ма бригада РХБ захисту,8th-Brigade-of-RCB-protection,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 65363,Волгоградська область,м. Камишин,28 обрхбз,Південний військовий округ.8-ма бригада РХБ захисту
810- бригада морської піхоти,810-Security-Guards-Brigade-of-Marines,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,Yes,в/ч 13140,Окупований Крим (Україна),м. Севастополь,810 гв обрмп,Південний військовий округ.810- бригада морської піхоти
9-та бригада човнів забезпечення,9th-Brigade-of-Boats-Security,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Ставропольський край,м. Севастополь,ffff,Південний військовий округ.9-та бригада човнів забезпечення
99-та бригада МТО,99th-Separate-MTO-Brigade,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,Невідомо,Республіка Адигея,м. Майкоп,ffff,Південний військовий округ.99-та бригада МТО
Управління 4-ї армії ВВС та ППО,Management-of-the-4th-Army-of-Air-Force-and-Air-Defense,Армійського підпорядкування,Окружного підпорядкування,Південний військовий округ,False,в/ч 40911,Ростовська область,м. Ростов-на-Дону,ffff,Південний військовий округ.Управління 4-ї армії ВВС та ППО
,ffff,,,Північний флот,False,ffff,ffff,о. Котєльний,ffff,Північний флот
,The-management-of-the-14th-Army-Corps,,,Північний флот,Yes,Невідомо,Мурманська область,м. Мурманськ,ffff,Північний флот.14-й армійський корпус
200-та мотострілецька бригада,The-200th-Separate-Motorized-Rifle-Brigade,Армійського підпорядкування,14-й армійський корпус,Північний флот,Yes,в/ч 08275,Мурманська область,смт. Пєчєнєга-Лоустарі,200 омсбр(а),Північний флот.14-й армійський корпус.200-та мотострілецька бригада
80-та мотострілецька бригада,The-80th-Separate-Motorized-Rifle-Brigade,Армійського підпорядкування,14-й армійський корпус,Північний флот,False,в/ч 34667,Мурманська область,м. Алакурті, 80 омсбр(а),Північний флот.14-й армійський корпус.80-та мотострілецька бригада
Управління 14-го армійського корпусу,The-management-of-the-14th-Army-Corps,Армійського підпорядкування,14-й армійський корпус,Північний флот,Yes,Невідомо,Мурманська область,м. Мурманськ,ffff,Північний флот.14-й армійський корпус.Управління 14-го армійського корпусу
,332th-radio-technical-regiment,,,Північний флот,False,в/ч 21514,Архангельська область,м. Архангєльск,332 радп,Північний флот.45-та армія ВВС та ППО
,583th-anti-aircraft-missile-regiment,,,Північний флот,False,в/ч 36226,Мурманська область,м. Олєнєгорск,ffff,Північний флот.45-та армія ВВС та ППО.1-ша дивізія ППО
1528-й зенітний ракетний полк,1528-anti-aircraft-missile-regiment,1-ша дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,в/ч 92485,Архангельська область,м. Сєвєродвінск,1528 зрп,Північний флот.45-та армія ВВС та ППО.1-ша дивізія ППО.1528-й зенітний ракетний полк
33-й зенітний ракетний полк,33rd-anti-aircraft-missile-regiment,1-ша дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,в/ч 23662,Архангельська область,смт. Рогачєво,33 зрп,Північний флот.45-та армія ВВС та ППО.1-ша дивізія ППО.33-й зенітний ракетний полк
331-й радіотехнічний полк,331th-radio-technical-regiment,1-ша дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,в/ч 36138,Мурманська область,м. Сєвєроморськ,331 радп,Північний флот.45-та армія ВВС та ППО.1-ша дивізія ППО.331-й радіотехнічний полк
332-й радіотехнічний полк,332th-radio-technical-regiment,1-ша дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,в/ч 21514,Архангельська область,м. Архангєльск,332 радп,Північний флот.45-та армія ВВС та ППО.1-ша дивізія ППО.332-й радіотехнічний полк
531-й зенітно ракетний полк,531th-Guards-Anti-aircraft-Missile-Regiment,1-ша дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,в/ч 70148,Мурманська область,м. Подлярний,ffff,Північний флот.45-та армія ВВС та ППО.1-ша дивізія ППО.531-й зенітно ракетний полк
583-й зенітний ракетний полк,583th-anti-aircraft-missile-regiment,1-ша дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,в/ч 36226,Мурманська область,м. Олєнєгорск,ffff,Північний флот.45-та армія ВВС та ППО.1-ша дивізія ППО.583-й зенітний ракетний полк
,N-th-anti-aircraft-missile-regiment,,,Північний флот,False,Невідомо,Красноярський край,смт. Діксон,ffff,Північний флот.45-та армія ВВС та ППО.3-я дивізія ППО
414-й зенітний ракетний полк,414th-Guards-Anti-aircraft-Missile-Regiment,3-я дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,Невідомо,Республіка Якутія,м. Тіксі,ffff,Північний флот.45-та армія ВВС та ППО.3-я дивізія ППО.414-й зенітний ракетний полк
N-й зенітний ракетний полк,N-th-anti-aircraft-missile-regiment,3-я дивізія ППО,45-та армія ВВС та ППО,Північний флот,False,Невідомо,Красноярський край,смт. Діксон,ffff,Північний флот.45-та армія ВВС та ППО.3-я дивізія ППО.N-й зенітний ракетний полк
100-й винищувальний авіаційний полк,100th-Separate-Fighter-Aviation-Regiment,Армійського підпорядкування,45-та армія ВВС та ППО,Північний флот,False,в/ч 61287,Мурманська область,м. Сєвєроморськ,ffff,Північний флот.45-та армія ВВС та ППО.100-й винищувальний авіаційний полк
174-й винищувальний авіаційний полк,174th-Guards-Fighter-Aviation-Regiment,Армійського підпорядкування,45-та армія ВВС та ППО,Північний флот,False,Невідомо,Мурманська область,м. Мончегорськ,ffff,Північний флот.45-та армія ВВС та ППО.174-й винищувальний авіаційний полк
216-й полк БПЛА,216th-regiment-of-UAV,Армійського підпорядкування,45-та армія ВВС та ППО,Північний флот,False,Невідомо,Мурманська область,м. Сєвєроморськ,ffff,Північний флот.45-та армія ВВС та ППО.216-й полк БПЛА
279-й винищувальний авіаційний полк,279th-Separate-Fighter-Aviation-Regiment,Армійського підпорядкування,45-та армія ВВС та ППО,Північний флот,False,в/ч 98613,Мурманська область,м. Сєвєроморськ,ffff,Північний флот.45-та армія ВВС та ППО.279-й винищувальний авіаційний полк
403-й авіаційний полк,403rd-Separate-Aviation-Regiment,Армійського підпорядкування,45-та армія ВВС та ППО,Північний флот,False,в/ч 49324-к,Вологодська область,смт. Фєдотово,ffff,Північний флот.45-та армія ВВС та ППО.403-й авіаційний полк
830-й вертольотнйи полк,830th-separate-helicopter-regiment,Армійського підпорядкування,45-та армія ВВС та ППО,Північний флот,False,в/ч 87268,Мурманська область,м. Сєвєроморськ,ffff,Північний флот.45-та армія ВВС та ППО.830-й вертольотнйи полк
98-й  авіаційний полк,98th-Separate-Guards-Aviation-Regiment,Армійського підпорядкування,45-та армія ВВС та ППО,Північний флот,False,в/ч 75385,Мурманська область,м. Мончегорськ,ffff,Північний флот.45-та армія ВВС та ППО.98-й  авіаційний полк
,Kolish-Fleet-Management,,,Північний флот,False,в/ч 36070,Мурманська область,м. Подлярний,ffff,Північний флот.Кольська флотилія
121-ша бригада десантний човнів,121-sh-brigade-of-landing-boats,Армійського підпорядкування,Кольська флотилія,Північний флот,False,в/ч 36045,Мурманська область,м. Подлярний,ffff,Північний флот.Кольська флотилія.121-ша бригада десантний човнів
161-ша бригада підводних човнів,161-sh-brigade-of-submarines,Армійського підпорядкування,Кольська флотилія,Північний флот,False,в/ч 36021,Мурманська область,м. Подлярний,ffff,Північний флот.Кольська флотилія.161-ша бригада підводних човнів
7-ма бригада човнів охорони,7th-Guards-Brigade-Boats,Армійського підпорядкування,Кольська флотилія,Північний флот,False,в/ч 90829,Мурманська область,м. Подлярний,ffff,Північний флот.Кольська флотилія.7-ма бригада човнів охорони
Управління Кольської флотилії,Kolish-Fleet-Management,Армійського підпорядкування,Кольська флотилія,Північний флот,False,в/ч 36070,Мурманська область,м. Подлярний,ffff,Північний флот.Кольська флотилія.Управління Кольської флотилії
,ffff,,,Північний флот,False,в/ч 20475,Мурманська область,м. Сєвєроморськ,ffff,Північний флот.43-тя дивізія ракетних човнів
14-та бригада протокорабельних човнів,The-14th-Brigade,Армійського підпорядкування,Окружного підпорядкування,Північний флот,False,в/ч 20546,Мурманська область,м. Сєвєроморськ,ffff,Північний флот.14-та бригада протокорабельних човнів
